prob_bin,count,mean_predicted_prob,observed_positive_rate,calibration_gap
"(0.011099999999999999, 0.115]",329,0.06732832017443648,0.05167173252279635,0.015656587651640123
"(0.115, 0.166]",329,0.1419978361377842,0.0668693009118541,0.07512853522593009
"(0.166, 0.22]",329,0.19315226474576383,0.0547112462006079,0.13844101854515592
"(0.22, 0.288]",329,0.2524388439105704,0.1094224924012158,0.1430163515093546
"(0.288, 0.377]",329,0.33001917729776137,0.17325227963525835,0.156766897662503
"(0.377, 0.468]",328,0.42100002999516506,0.23170731707317074,0.18929271292199432
"(0.468, 0.576]",329,0.521237296753599,0.3009118541033435,0.2203254426502555
"(0.576, 0.702]",329,0.6373915042022091,0.45896656534954405,0.17842493885266508
"(0.702, 0.835]",329,0.7668586674194646,0.5531914893617021,0.21366717805776247
"(0.835, 1.0]",329,0.9136852825566926,0.7659574468085106,0.14772783574818193
